Team,Year,Player Name,,,Team,Year,Player Name
Afghanistan,2025,Hashmatullah Shahidi,,,Afghanistan,1998,Aamer Sohail
Afghanistan,2025,Ibrahim Zadran,,,Australia,2000,Aaron Finch
Afghanistan,2025,Ikram Alikhil,,,Bangladesh,2002,Aaron Hardie
Afghanistan,2025,Rahmanullah Gurbaz,,,England,2004,Aaron Phangiso
Afghanistan,2025,Sediqullah Atal,,,India,2006,Aaron Redmond
Afghanistan,2025,Rahmat Shah,,,Kenya,2009,AB de Villiers
Afghanistan,2025,Azmatullah Omarzai,,,Netherlands,2013,Abdul Razzaq
Afghanistan,2025,Gulbadin Naib,,,New Zealand,2017,Abdur Razzak
Afghanistan,2025,Mohammed Nabi,,,Pakistan,2025,Abdur Rehman
Afghanistan,2025,Nangeyalia Kharote,,,South Africa,,Abhishek Nayar
Afghanistan,2025,Rashid Khan,,,Sri Lanka,,Abrar Ahmed
Afghanistan,2025,Fareed Ahmad,,,U.S.A.,,Adam Gilchrist
Afghanistan,2025,Fazalhaq Farooqi,,,West Indies,,Adam Hollioake
Afghanistan,2025,Naveed Zadran,,,Zimbabwe,,Adam Milne
Afghanistan,2025,Noor Ahmad,,,,,Adam Parore
Australia,1998,Mark Waugh,,,,,Adam Voges
Australia,1998,Adam Gilchrist,,,,,Adam Zampa
Australia,1998,Ricky Ponting,,,,,Adeel Raja
Australia,1998,Brendon Julian,,,,,Adil Rashid
Australia,1998,Darren Lehmann,,,,,Aftab Ahmed
Australia,1998,Steve Waugh,,,,,Ahmed Shehzad
Australia,1998,Michael Bevan,,,,,Aiden Markram
Australia,1998,Damien Martyn,,,,,Aijaz Ali
Australia,1998,Brad Young,,,,,Ajantha Mendis
Australia,1998,Michael Kasprowicz,,,,,Ajay Jadeja
Australia,1998,Damien Fleming,,,,,Ajinkya Rahane
Australia,2000,Steve Waugh,,,,,Ajit Agarkar
Australia,2000,Adam Gilchrist,,,,,Akhtar Sarfraz
Australia,2000,Michael Bevan,,,,,Akram Khan
Australia,2000,Damien Martyn,,,,,Al Sahariar
Australia,2000,Ricky Ponting,,,,,Alan Dawson
Australia,2000,Ian Harvey,,,,,Alastair Cook
Australia,2000,Shane Lee,,,,,Albie Morkel
Australia,2000,Andrew Symonds,,,,,Alec Stewart
Australia,2000,Mark Waugh,,,,,Alex Carey
Australia,2000,Jason Gillespie,,,,,Alex Hales
Australia,2000,Brett Lee,,,,,Alex Tait
Australia,2000,Glenn McGrath,,,,,Alex Wharf
Australia,2000,Brad Young,,,,,Ali Brown
Australia,2000,Mark Higgs,,,,,Alistair Campbell
Australia,2002,Adam Gilchrist,,,,,Allan Donald
Australia,2002,Matthew Hayden,,,,,Alok Kapali
Australia,2002,Ricky Ponting,,,,,Alviro Petersen
Australia,2002,Jimmy Maher,,,,,Aminul Islam
Australia,2002,Damien Martyn,,,,,Amit Mishra
Australia,2002,Darren Lehmann,,,,,Andile Phehlukwayo
Australia,2002,Michael Bevan,,,,,Andre Fletcher
Australia,2002,Shane Watson,,,,,Andre Nel
Australia,2002,Shane Warne,,,,,Andrew Flintoff
Australia,2002,Brett Lee,,,,,Andrew Hall
Australia,2002,Jason Gillespie,,,,,Andrew Strauss
Australia,2002,Glenn McGrath,,,,,Andrew Symonds
Australia,2004,Adam Gilchrist,,,,,Andy Caddick
Australia,2004,Matthew Hayden,,,,,Andy Flower
Australia,2004,Ricky Ponting,,,,,Andy Whittall
Australia,2004,Shane Watson,,,,,Angelo Mathews
Australia,2004,Darren Lehmann,,,,,Anil Kumble
Australia,2004,Andrew Symonds,,,,,Anthony Ireland
Australia,2004,Damien Martyn,,,,,Aravinda de Silva
Australia,2004,Michael Clarke,,,,,Arjuna Ranatunga
Australia,2004,Michael Kasprowicz,,,,,Arshad Khan
Australia,2004,Brett Lee,,,,,Arshdeep Singh
Australia,2004,Jason Gillespie,,,,,Asad Ali
Australia,2004,Glenn McGrath,,,,,Asad Shafiq
Australia,2006,Adam Gilchrist,,,,,Asela Gunaratne
Australia,2006,Shane Watson,,,,,Ashish Nehra
Australia,2006,Ricky Ponting,,,,,Ashley Giles
Australia,2006,Damien Martyn,,,,,Avishka Gunawardene
